record_no,evidence_status,source_classification,name,created_at_utc,modified_at_utc,size_bytes,mime_type,file_id,library_file_id,version_id,path,model_generated,sha256,current_state,transfer_attribution
601,VERIFIED_TRUE,ChatGPT Library model_generated,🌌幻界進度📦交付包_20260618_1806(29).zip,2026-06-18T18:50:38.285447Z,2026-06-18T18:50:38.285359Z,1059101,application/zip,file_000000009f5872069c7b0640aee9ad1e,libfile_bc464cab6dac81918b20bc44732dd546,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🌌幻界進度📦交付包_20260618_1806(29).zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
602,VERIFIED_TRUE,ChatGPT Library model_generated,🌌幻界進度📦交付包_20260618_1806(30).zip,2026-06-18T18:54:50.254370Z,2026-06-18T18:54:50.254328Z,1066017,application/zip,file_0000000008747206a48685fb75d350b9,libfile_1a6b4023a6308191a31f0585a4175cf4,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🌌幻界進度📦交付包_20260618_1806(30).zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
603,VERIFIED_TRUE,ChatGPT Library model_generated,🌌幻界進度📦交付包_20260618_1806(31).zip,2026-06-18T19:01:14.541371Z,2026-06-18T19:01:14.541329Z,1884339,application/zip,file_000000002ef07206ab81a1f2de1d9fdb,libfile_88d57c7269a88191bb37a548d1a02a4e,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🌌幻界進度📦交付包_20260618_1806(31).zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
604,VERIFIED_TRUE,ChatGPT Library model_generated,📦跨對話最小包｜CrossChatMinimalPackage_20260619-031034_TPE.zip,2026-06-18T19:11:15.666779Z,2026-06-18T19:11:15.666737Z,9010,application/zip,file_00000000b9d072068852c5303d288ece,libfile_78c832b8a0d481919afb799ef35f489e,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📦跨對話最小包｜CrossChatMinimalPackage_20260619-031034_TPE.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
605,VERIFIED_TRUE,ChatGPT Library model_generated,📦跨對話最小安裝器｜CrossChatMinimalInstaller_20260619-031034_TPE.py,2026-06-18T19:11:20.232976Z,2026-06-18T19:11:24.367271Z,9951,text/x-python,file_000000007170720691cbc125bb246e57,libfile_3234cc1525fc819195b21fe8d921e952,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📦跨對話最小安裝器｜CrossChatMinimalInstaller_20260619-031034_TPE.py,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
606,VERIFIED_TRUE,ChatGPT Library model_generated,📦跨對話交接最小包｜CrossChatHandoffPackage_20260619-031325_TPE.zip,2026-06-18T19:14:06.412237Z,2026-06-18T19:14:06.412195Z,9965,application/zip,file_00000000a91072068f7c434916a662a8,libfile_87ee37c7932881919987ff0b50d827b4,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📦跨對話交接最小包｜CrossChatHandoffPackage_20260619-031325_TPE.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
607,VERIFIED_TRUE,ChatGPT Library model_generated,📦跨對話交接安裝器｜CrossChatHandoffInstaller_20260619-031325_TPE.py,2026-06-18T19:14:11.266041Z,2026-06-18T19:14:15.826786Z,10983,text/x-python,file_00000000471472069661729a111dbe21,libfile_2101e3b3df8881918159011bb2697fad,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📦跨對話交接安裝器｜CrossChatHandoffInstaller_20260619-031325_TPE.py,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
608,VERIFIED_TRUE,ChatGPT Library model_generated,📦跨對話交接最小包｜含快顯接線版.zip,2026-06-18T19:47:02.547571Z,2026-06-18T19:47:02.547476Z,10678,application/zip,file_0000000099107206bf1b8a1808422cca,libfile_a68692fc59048191913d3c7d616bcdb1,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📦跨對話交接最小包｜含快顯接線版.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
609,VERIFIED_TRUE,ChatGPT Library model_generated,📸跨對話快顯交接卡｜CrossChatPreviewCard_20260619-034840_TPE.html,2026-06-18T19:49:29.637338Z,2026-06-18T19:49:39.422507Z,5724,text/html,file_00000000041872069593ad647e300307,libfile_66c24a6afd8c81918df46caa54778a2d,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📸跨對話快顯交接卡｜CrossChatPreviewCard_20260619-034840_TPE.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
610,VERIFIED_TRUE,ChatGPT Library model_generated,📸跨對話快顯交接卡｜CrossChatPreviewCard_20260619-034840_TPE.pdf,2026-06-18T19:49:38.762093Z,2026-06-18T19:49:44.852564Z,477362,application/pdf,file_0000000046147206bd818b4aeaecdf99,libfile_e4b35bc627148191b50310bccab5fa5b,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📸跨對話快顯交接卡｜CrossChatPreviewCard_20260619-034840_TPE.pdf,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
