record_no,evidence_status,source_classification,name,created_at_utc,modified_at_utc,size_bytes,mime_type,file_id,library_file_id,version_id,path,model_generated,sha256,current_state,transfer_attribution
1001,VERIFIED_TRUE,ChatGPT Library model_generated,PhantomWorld_全檔案本體吸回互動顯影_20260624-211831_TPE.html,2026-06-24T13:19:23.170937Z,2026-06-24T13:19:32.209179Z,724489,text/html,file_0000000058d072069da289803bb53d42,libfile_a45e1af08e608191ae9cc431f82a00de,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/PhantomWorld_全檔案本體吸回互動顯影_20260624-211831_TPE.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1002,VERIFIED_TRUE,ChatGPT Library model_generated,PhantomWorld_全檔案本體吸回包_20260624-211831_TPE.zip,2026-06-24T13:19:25.779983Z,2026-06-24T13:19:25.779931Z,27756961,application/zip,file_000000001ef472069f9f1f333871395d,libfile_04676cf99aac8191a7984658cd368f17,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/PhantomWorld_全檔案本體吸回包_20260624-211831_TPE.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1003,VERIFIED_TRUE,ChatGPT Library model_generated,3D%20Pixar%20統一風格：三隻森林小精靈一套%281%29.jpeg,2026-06-24T13:21:55.906637Z,2026-06-24T13:21:55.906530Z,603602,image/jpeg,file_00000000c66472068dcc3ca3b3e4afe0,libfile_fa312901bac88191b136004116f26faa,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/3D%20Pixar%20統一風格：三隻森林小精靈一套%281%29.jpeg,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1004,VERIFIED_TRUE,ChatGPT Library model_generated,📦手機分類預覽包｜MobileClassifiedIntake_20260624-212652_TPE.zip,2026-06-24T13:27:13.611491Z,2026-06-24T13:27:13.611376Z,8506,application/zip,file_000000000a6872068e4e1adbf9c26808,libfile_951c5804cc348191b028d5ddfdf46794,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📦手機分類預覽包｜MobileClassifiedIntake_20260624-212652_TPE.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1005,VERIFIED_TRUE,ChatGPT Library model_generated,MobilePreview.html,2026-06-24T13:27:16.870646Z,2026-06-24T13:27:21.300991Z,7807,text/html,file_00000000e0947206bb53379691fca584,libfile_68e3bc9246448191b9ebbb6f187a4f09,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/MobilePreview.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1006,VERIFIED_TRUE,ChatGPT Library model_generated,PhantomWorld_Mini總包收斂報告_20260624-214532_TPE.xlsx,2026-06-24T13:46:10.021894Z,2026-06-24T13:46:21.525282Z,9238,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,file_00000000b0f07206b869237c859086a7,libfile_aa2f5ca4e9bc8191a2f0b9964192d239,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/PhantomWorld_Mini總包收斂報告_20260624-214532_TPE.xlsx,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1007,VERIFIED_TRUE,ChatGPT Library model_generated,PhantomWorld_Mini總包收斂包_20260624-214532_TPE.zip,2026-06-24T13:46:14.075124Z,2026-06-24T13:46:14.075091Z,2247,application/zip,file_000000008cb47206baee45e355210384,libfile_a1bde6715a6c81918bfbe3b6eb100d7c,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/PhantomWorld_Mini總包收斂包_20260624-214532_TPE.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1008,VERIFIED_TRUE,ChatGPT Library model_generated,PhantomWorld_Mini本體啟用報告_20260624-215159_TPE.xlsx,2026-06-24T13:52:33.483505Z,2026-06-24T13:52:44.280313Z,110375,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,file_00000000827c72069d5ffc5a18693048,libfile_16ca5baff23c8191a52017cbf0315f2d,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/PhantomWorld_Mini本體啟用報告_20260624-215159_TPE.xlsx,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1009,VERIFIED_TRUE,ChatGPT Library model_generated,PhantomWorld_Mini本體啟用包_20260624-215159_TPE.zip,2026-06-24T13:52:36.054524Z,2026-06-24T13:52:36.054456Z,28022727,application/zip,file_000000006c487206816542d98e320b16,libfile_325525ff783c819185d16f5f9ac492b1,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/PhantomWorld_Mini本體啟用包_20260624-215159_TPE.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
1010,VERIFIED_TRUE,ChatGPT Library model_generated,🧭Mini本體互動入口_20260624-215159_TPE.html,2026-06-24T13:52:38.775635Z,2026-06-24T13:52:45.541582Z,542327,text/html,file_000000001dd87206a517f864f2cfa905,libfile_d56c7733536c8191823156a15cb599c6,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧭Mini本體互動入口_20260624-215159_TPE.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
